회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대
351235008,1,0,50.0,0,0,0,50대,380076.0,화성,기타,0,17,1
351641472,1,0,47.0,0,0,0,40대,119843.0,수지구,풍덕천동,0,7,1
351778816,1,0,63.0,0,0,0,60대,572409.0,수지구,풍덕천동,1,22,1
351795520,1,0,60.0,0,0,0,60대,1298580.0,수지구,신봉동,1,61,1
351823360,1,0,65.0,0,0,0,60대,112568.0,수지구,상현동,1,6,1
351906880,1,0,50.0,0,0,0,50대,67770.0,수지구,상현동,0,10,1
351929152,1,0,46.0,0,1,0,40대,1320083.0,수지구,신봉동,0,53,1
352018240,1,0,44.0,0,1,0,40대,1279687.0,수지구,풍덕천동,0,49,1
352038656,1,0,79.0,0,0,0,70대이상,17708.0,기흥구,상갈동,1,3,0
352344896,1,0,53.0,1,0,0,50대,634337.0,분당구,정자동,0,17,1
352777344,1,0,47.0,0,0,0,40대,77726.0,기흥구,보정동,0,3,1
352922112,1,0,54.0,0,0,0,50대,17612.0,수지구,상현동,0,2,1
353016768,1,0,50.0,0,0,0,50대,1154350.0,수지구,상현동,0,46,1
353452928,1,0,49.0,0,0,0,40대,3733.0,서울 강남구,기타,0,1,1
353590272,1,0,48.0,0,0,0,40대,257929.0,처인구,기타,0,14,1
353625536,1,0,50.0,0,1,0,50대,14550.0,수지구,신봉동,0,1,1
354137792,1,0,55.0,0,0,0,50대,182539.0,수지구,상현동,0,4,1
354299264,1,0,49.0,0,0,0,40대,143105.0,수지구,풍덕천동,0,8,1
354419904,1,0,55.0,1,0,0,50대,1034261.0,처인구,역북동,0,10,1
354438464,1,0,50.0,0,0,0,50대,12061.0,수지구,풍덕천동,0,3,1
354616640,1,0,56.0,0,0,0,50대,9381.0,기타,기타,0,1,1
354921024,1,0,49.0,0,0,0,40대,359909.0,수지구,풍덕천동,0,15,1
354941440,1,0,50.0,0,0,0,50대,148270.0,수지구,동천동,0,10,1
355177152,1,0,48.0,0,0,0,40대,1483567.0,수지구,신봉동,0,51,1
355221696,1,0,51.0,0,0,0,50대,3637.0,수지구,풍덕천동,0,1,1
355453696,1,0,48.0,1,0,0,40대,1092361.0,수지구,동천동,0,38,1
355837888,1,0,47.0,0,1,0,40대,1569201.0,서울 강남구,기타,0,46,1
355891712,1,0,57.0,0,0,0,50대,10338.0,분당구,판교동,0,1,1
