회원번호,오전,오후,저녁,총방문수,오전방문율,오후방문율,저녁방문율
1454040512,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1454990784,0.0,2.0,2.0,4.0,0.0,0.5,0.5
1456026432,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1456070976,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1456997120,0.0,0.0,2.0,2.0,0.0,0.0,1.0
1457236544,1.0,2.0,1.0,4.0,0.25,0.5,0.25
1457440704,2.0,4.0,2.0,8.0,0.25,0.5,0.25
1458478208,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1458554304,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1460007552,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1460831616,0.0,17.0,8.0,25.0,0.0,0.68,0.32
1461065472,0.0,5.0,0.0,5.0,0.0,1.0,0.0
1461117440,0.0,0.0,8.0,8.0,0.0,0.0,1.0
1461781888,0.0,0.0,2.0,2.0,0.0,0.0,1.0
1465512448,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1465798272,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1466429312,4.0,15.0,12.0,31.0,0.13,0.48,0.39
1466830208,2.0,0.0,0.0,2.0,1.0,0.0,0.0
